Step;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r3 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r0 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r1 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r2 - train/loss;peptides-functional.custom_gnn.da-sageconv.wothird_ND0.0_L16_0.001.r4 - train/loss;DA-SAGE_mean;DA-SAGE_std
132;0.07158492;0.07888538;0.08396188;0.07572725;0.07696749;0.077425384;0.004529396
133;0.06748664;0.08439281;0.0790967;0.07709479;0.0771933;0.077052848;0.006115272
134;0.07361227;0.08101978;0.07993437;0.07934076;0.07218531;0.077218498;0.004020807
135;0.0677484;0.07966574;0.08108184;0.0727757;0.07377358;0.075009052;0.005426666
136;0.06971016;0.07831998;0.07486655;0.07481028;0.07293989;0.074129372;0.003142951
137;0.06356786;0.07433981;0.0713001;0.07542918;0.07096299;0.071119988;0.004637567
138;0.06737513;0.07237322;0.07116668;0.07278968;0.07134882;0.071010706;0.002143435
139;0.06712764;0.07472183;0.06925309;0.06763744;0.06825542;0.069399084;0.003079113
140;0.065527;0.07459028;0.069923;0.06601654;0.06940437;0.069092238;0.003646467
141;0.06447029;0.07951552;0.07184949;0.07031427;0.07046184;0.071322282;0.005387795
142;0.06167664;0.07192036;0.06658849;0.0740602;0.06619328;0.068087794;0.004931992
143;0.0639736;0.06782092;0.06827122;0.0711967;0.06551551;0.06735559;0.002767345
144;0.06060988;0.06634019;0.06393535;0.06800879;0.06099822;0.063978486;0.003242389
145;0.06105104;0.06266614;0.06478068;0.06595935;0.06040457;0.062972356;0.002375443
146;0.05538261;0.06976025;0.06467681;0.06351287;0.06398767;0.063464042;0.005164764
147;0.05597962;0.06645223;0.06558357;0.06719865;0.06054644;0.063152102;0.004780466
148;0.0593983;0.06528004;0.0711897;0.06588754;0.06166802;0.06468472;0.004504516
149;0.0561037;0.06221423;0.06295919;0.06299625;0.06231419;0.061317512;0.002936604
150;0.06002642;0.05928325;0.06255898;0.06406335;0.06336093;0.061858586;0.002097484
151;0.05744136;0.06177802;0.06539974;0.06140966;0.06057074;0.061319904;0.002849006
152;0.05502319;0.06386831;0.06158515;0.0626764;0.05684718;0.060000046;0.003851901
153;0.05219192;0.06508269;0.06034778;0.05449052;0.05591008;0.057604598;0.005131103
154;0.05185379;0.06105898;0.05726234;0.06002271;0.05644938;0.05732944;0.003602948
155;0.05249212;0.05959077;0.05814289;0.06125825;0.05546058;0.057388922;0.003467185
156;0.05423398;0.05644841;0.0548469;0.05495038;0.05274288;0.05464451;0.001339151
157;0.05258209;0.05627608;0.05559727;0.05800173;0.05406087;0.055303608;0.00207743
158;0.04865123;0.05572126;0.05292417;0.05747696;0.05571624;0.054097972;0.003453847
159;0.05231904;0.05913936;0.05519993;0.0541629;0.0570363;0.055571506;0.002625642
160;0.04804951;0.05493812;0.05204865;0.05477836;0.05437043;0.052837014;0.002918756
161;0.0473966;0.05397697;0.05593374;0.05460859;0.05233535;0.05285025;0.00331197
162;0.05032349;0.05221266;0.05549418;0.05242019;0.05157217;0.052404538;0.001910926
163;0.04916359;0.05051397;0.05539209;0.05630899;0.05245433;0.052766594;0.003065749
164;0.04886401;0.04931973;0.05488259;0.04819197;0.0494596;0.05014358;0.002694942
165;0.04468887;0.0499691;0.05542859;0.04971817;0.04979539;0.049920024;0.003800262
166;0.04569528;0.05189799;0.05207949;0.04939951;0.05428127;0.050670708;0.003274823
167;0.04488772;0.0496613;0.05057627;0.05370237;0.05200852;0.050167236;0.003323555
168;0.04673855;0.0512596;0.05378022;0.04968724;0.04685272;0.049663666;0.00299797
169;0.04386418;0.05268277;0.04783043;0.05021348;0.04779221;0.048476614;0.00327372
170;0.04354327;0.04895344;0.04828885;0.04953589;0.05150268;0.048364826;0.002950303
171;0.04317866;0.04608554;0.05250097;0.05014887;0.05246177;0.048875162;0.004119002
172;0.04101919;0.04848939;0.04947797;0.0498412;0.04620922;0.047007394;0.003634081
173;0.04559772;0.04803144;0.04542632;0.04851748;0.04116994;0.04574858;0.002914138
174;0.04397558;0.04538969;0.0443738;0.04634235;0.04446576;0.044909436;0.000953904
175;0.04418144;0.04731682;0.04622162;0.04299947;0.04428147;0.045000164;0.001735544
176;0.04200637;0.04719573;0.04670633;0.04734309;0.04323441;0.045297186;0.00249301
177;0.04192119;0.04933703;0.04365711;0.04369987;0.0470879;0.04514062;0.003001793
178;0.03843815;0.04733895;0.04473591;0.04580716;0.04435454;0.044134942;0.003388392
179;0.04173176;0.04709746;0.04479327;0.05031671;0.0464343;0.0460747;0.003149333
180;0.04033213;0.04725121;0.04877756;0.04590923;0.04457881;0.045369788;0.003218979
181;0.04185823;0.04845252;0.04646476;0.04840475;0.04328478;0.045693008;0.003002879
182;0.03957172;0.04652512;0.04131363;0.04320038;0.03947574;0.042017318;0.002943453
183;0.03670444;0.04502434;0.04435844;0.04026091;0.04650934;0.042571494;0.00401489
184;0.03905587;0.04163758;0.04609992;0.03965766;0.0436645;0.042023106;0.002909598
185;0.03635847;0.04015213;0.0408515;0.04265315;0.04357687;0.040718424;0.002795598
186;0.03715293;0.03736233;0.04346173;0.03928949;0.04155795;0.039764886;0.002724992
187;0.03820467;0.0374993;0.03853981;0.03839876;0.04111886;0.03875228;0.001382087
188;0.03563355;0.03915396;0.04003642;0.03916798;0.03754132;0.038306646;0.001745216
189;0.03826499;0.04007745;0.04203019;0.03889006;0.03641685;0.039135908;0.002090191
190;0.03408341;0.0409643;0.03978289;0.03807342;0.03994019;0.038568842;0.002713728
191;0.0344044;0.03904085;0.0421076;0.03581456;0.03734068;0.037741618;0.002990031
192;0.03611849;0.04337275;0.04095976;0.03698134;0.03959381;0.03940523;0.002952594
193;0.03936335;0.0355245;0.03915996;0.03742378;0.03903841;0.038102;0.001634827
194;0.03434643;0.03781337;0.04024334;0.04029145;0.03706911;0.03795274;0.00247599
195;0.03317303;0.03950571;0.03828745;0.04032869;0.03898756;0.038056488;0.002829821
196;0.03402344;0.034575;0.0372112;0.03668631;0.03670476;0.035840142;0.001435649
197;0.03562676;0.03707501;0.0379483;0.0395543;0.03331247;0.036703368;0.002370288
198;0.03204597;0.03830138;0.04288811;0.03645498;0.03226442;0.036390972;0.00452145
199;0.03106215;0.03632068;0.04058566;0.03562898;0.03137039;0.034993572;0.003937637
200;0.03389567;0.03632298;0.03983908;0.03545425;0.03750088;0.036602572;0.002236408
201;0.03620475;0.03466317;0.03632471;0.03467764;0.03545668;0.03546539;0.000798321
202;0.03200988;0.03771986;0.03250474;0.03560536;0.03340594;0.034249156;0.002379781
203;0.03060725;0.03479939;0.03284698;0.03241326;0.03341412;0.0328162;0.001527524
204;0.02872248;0.03434185;0.0325948;0.03152467;0.03778761;0.032994282;0.003367476
205;0.03194448;0.03005131;0.0343092;0.03267886;0.03493802;0.032784374;0.001946117
206;0.03632174;0.03182704;0.03531255;0.03140201;0.03616702;0.034206072;0.002401469
207;0.03157228;0.03316702;0.03894125;0.03246187;0.03636885;0.034502254;0.003070815
208;0.0330737;0.03463562;0.03469132;0.0346762;0.03161792;0.033738952;0.001372114
209;0.02926111;0.02996418;0.03458483;0.03266948;0.03152648;0.031601216;0.002133349
210;0.02870388;0.03099747;0.03579186;0.03392111;0.02931445;0.031745754;0.003034276
211;0.03015193;0.02916892;0.03610453;0.03200415;0.02955892;0.03139769;0.00284704
212;0.02697264;0.0323689;0.03414324;0.03499621;0.0303498;0.031766158;0.003218343
213;0.02940777;0.03328742;0.03517333;0.02984963;0.02781752;0.031107134;0.003024
214;0.02886247;0.03486542;0.0321266;0.03181089;0.02851034;0.031235144;0.002615302
215;0.02882596;0.03403761;0.03472719;0.03340862;0.03245004;0.032689884;0.00231684
216;0.02885498;0.03749608;0.03346778;0.03091951;0.03065455;0.03227858;0.003348212
217;0.03027414;0.03566534;0.02988341;0.03016328;0.03497231;0.032191696;0.002868697
218;0.02952573;0.03027068;0.03126618;0.03211162;0.03619872;0.031874586;0.002608358
219;0.02737115;0.03164637;0.03334669;0.03012498;0.03305642;0.031109122;0.002450933
220;0.02687696;0.0326955;0.02990399;0.02792606;0.03174158;0.029828818;0.002460494
221;0.02578036;0.03035984;0.02907968;0.02807877;0.02803399;0.028266528;0.00168178
222;0.02717612;0.0258644;0.02914593;0.03088386;0.0296744;0.028548942;0.002010367
223;0.02559544;0.02689548;0.02671538;0.0317169;0.02914316;0.028013272;0.002437899
224;0.02718047;0.02763638;0.02806143;0.02975495;0.02623837;0.02777432;0.001297705
225;0.02479663;0.03060953;0.02541943;0.02773565;0.02663586;0.02703942;0.002293892
226;0.0272254;0.02669468;0.02818103;0.03145012;0.0335341;0.029417066;0.002950671
227;0.02932173;0.02668378;0.03236434;0.02562754;0.02696572;0.028192622;0.002694423
228;0.02603737;0.02529719;0.03013468;0.02791711;0.02700107;0.027277484;0.001878067
229;0.0262722;0.02641393;0.0303668;0.02717408;0.0281736;0.027680122;0.001681021
230;0.02604121;0.02907601;0.02728598;0.02523463;0.02787151;0.027101868;0.001511213
231;0.02534632;0.02673;0.02784893;0.02777209;0.02590626;0.02672072;0.001110253
232;0.02213646;0.02663677;0.02842806;0.02796993;0.02488921;0.026012086;0.002566205
233;0.02284777;0.02625921;0.02654304;0.02549955;0.0280803;0.025845974;0.001920815
234;0.02342079;0.02237727;0.0257676;0.02517206;0.02460364;0.024268272;0.001366693
235;0.02133985;0.02478289;0.02751747;0.02376949;0.02434642;0.024351224;0.002214625
236;0.0238253;0.02592912;0.02566893;0.02293075;0.02610638;0.024892096;0.001426386
237;0.02508901;0.02564072;0.02683071;0.02501823;0.02507442;0.025530618;0.000769421
238;0.0233749;0.02482595;0.0251406;0.02396846;0.02434707;0.024331396;0.00069754
239;0.02271319;0.02562094;0.02463288;0.0240993;0.02138669;0.0236906;0.001661661
240;0.0212848;0.02403141;0.02776953;0.02489148;0.02313382;0.024222208;0.002391693
241;0.02010107;0.02268202;0.02769365;0.02904761;0.02655952;0.025216774;0.003715124
242;0.01954304;0.02552065;0.02848204;0.02414462;0.02518586;0.024575242;0.003241844
243;0.01921724;0.02822423;0.02194109;0.02362514;0.02467658;0.023536856;0.003334809
244;0.01979762;0.02393017;0.02145962;0.02175606;0.02324924;0.022038542;0.001618697
245;0.02383337;0.02258258;0.02345282;0.02259173;0.02136582;0.022765264;0.000953351
246;0.02133205;0.02152139;0.02571614;0.02194157;0.02263223;0.022628676;0.001796655
247;0.01874131;0.02170088;0.02570877;0.02238699;0.02154276;0.022016142;0.002491036
248;0.02136562;0.02269729;0.02481122;0.02473468;0.02203575;0.023128912;0.001573146
249;0.02498374;0.02359083;0.024533;0.02508672;0.02493168;0.024625194;0.000615204
250;0.0206382;0.0274771;0.02220437;0.0262985;0.02310411;0.023944456;0.002858606
