Step;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r0 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r2 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r4 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r3 - train/loss;peptides-functional.custom_gnn.gcnconv.wothird_ND0.0_L4_0.005.r1 - train/loss;GCN_mean;GCN_std
168;0.11434711;0.13154644;0.1281108;0.14238302;0.13878749;0.131034972;0.010910738
169;0.11406133;0.13134962;0.12440989;0.14238727;0.13846856;0.130135334;0.011315712
170;0.11158777;0.1304546;0.12347691;0.14058754;0.1387442;0.128970204;0.011885098
171;0.11202329;0.12937169;0.12396938;0.13997463;0.13898179;0.128864156;0.011550328
172;0.10990462;0.12781802;0.1249733;0.14048875;0.13718313;0.128073564;0.01200946
173;0.10900467;0.12887099;0.12371869;0.140678;0.13526933;0.127508336;0.012168371
174;0.1106393;0.12845378;0.12349273;0.13786792;0.13545577;0.1271819;0.010857408
175;0.10983748;0.12693615;0.12210128;0.13718835;0.13487848;0.126188348;0.010967368
176;0.10759174;0.12569459;0.12290813;0.13464741;0.13491715;0.125151804;0.011171538
177;0.1074366;0.12586724;0.1204802;0.1373816;0.1317825;0.124589628;0.011490409
178;0.10725977;0.1250123;0.11875739;0.13442315;0.13177885;0.123446292;0.010912889
179;0.10591;0.12505257;0.11892165;0.13253343;0.13231882;0.122947294;0.01107505
180;0.10561386;0.12382169;0.12007001;0.13339934;0.13114926;0.122810832;0.011021747
181;0.10360707;0.12366166;0.11997103;0.1318778;0.13034672;0.121892856;0.011317674
182;0.10367172;0.12277362;0.11818985;0.13295451;0.13063164;0.121644268;0.011671711
183;0.10582269;0.12372391;0.11899363;0.13056633;0.12917342;0.121655996;0.009974514
184;0.10344091;0.1202293;0.11658717;0.13162712;0.13053284;0.120483468;0.011520258
185;0.10370723;0.12044741;0.11458179;0.12945872;0.12819788;0.119278606;0.010595779
186;0.10136904;0.11750463;0.11478195;0.12983456;0.12769066;0.118236168;0.011411364
187;0.10215296;0.11647215;0.11551512;0.12766944;0.12601082;0.117564098;0.010202437
188;0.10021711;0.11557708;0.11364873;0.12661071;0.12628375;0.116467476;0.010863436
189;0.09853089;0.11548351;0.11264657;0.12589978;0.12583893;0.115679936;0.011302434
190;0.099091;0.1152844;0.11313905;0.12629085;0.1244557;0.1156522;0.010855955
191;0.0999366;0.11458426;0.11157117;0.12509621;0.12393239;0.115024126;0.010253705
192;0.09845824;0.11488239;0.11066741;0.12381921;0.12376436;0.114318322;0.010543766
193;0.0981085;0.11451239;0.11049931;0.12376531;0.12406766;0.114190634;0.010742375
194;0.09802277;0.11377773;0.11145624;0.12257832;0.12199757;0.113566526;0.009979995
195;0.09538701;0.11133496;0.11114016;0.12305291;0.12466831;0.11311667;0.011764259
196;0.09554518;0.11199606;0.10986954;0.12211975;0.12272187;0.11245048;0.011086627
197;0.09602679;0.11081112;0.10948617;0.12302026;0.12154067;0.112177002;0.010899428
198;0.09633667;0.11012997;0.1075159;0.12092899;0.12189829;0.111361964;0.010542908
199;0.09538325;0.10900745;0.10967459;0.11991839;0.12041458;0.110879652;0.01021897
200;0.09349039;0.10763001;0.10677042;0.11990333;0.11938709;0.109436248;0.010876794
